brand,model,avg_price_usd,avg_rating,review_count,cluster,segment
Apple,iPhone 13,1106.2243576683645,3.150537634408602,1767,1,Premium
Apple,iPhone 14,1101.6324776286353,3.1761744966442955,1788,1,Premium
Apple,iPhone 15 Pro,1100.859369771333,3.079196876742889,1793,1,Premium
Apple,iPhone SE,1103.4829064587973,3.096881959910913,1796,1,Premium
Google,Pixel 6,808.6272761664565,3.112232030264817,2379,2,Upper-mid
Google,Pixel 7a,807.7428322528364,3.1195299837925448,2468,2,Upper-mid
Google,Pixel 8,799.0514495182238,3.122748219522413,2387,2,Upper-mid
Motorola,Edge 50,510.0108164146868,3.0872570194384448,2315,0,Mid-range
Motorola,Moto G Power,504.03173543173125,3.1225010633772863,2351,0,Mid-range
Motorola,Razr 40,506.16407098121084,3.1039665970772443,2395,0,Mid-range
OnePlus,OnePlus 11R,672.7200760378134,3.1122071516646117,2433,2,Upper-mid
OnePlus,OnePlus 12,670.1247610848042,3.128712871287129,2323,2,Upper-mid
OnePlus,OnePlus Nord 3,672.9417773109243,3.1365546218487395,2380,2,Upper-mid
Realme,Realme 12 Pro,394.441702970297,3.1405940594059407,3535,3,Budget
Realme,Realme Narzo 70,392.1875813177648,3.120378092855157,3597,3,Budget
Samsung,Galaxy A55,907.0319295302014,3.088926174496644,1788,1,Premium
Samsung,Galaxy Note 20,901.1152068194522,3.1442146450531023,1789,1,Premium
Samsung,Galaxy S24,894.8002867688813,3.0715502555366268,1761,1,Premium
Samsung,Galaxy Z Flip,899.218448074679,3.128354725787631,1714,1,Premium
Xiaomi,Mi 13 Pro,448.9022535787321,3.0936605316973416,2445,0,Mid-range
Xiaomi,Poco X6,450.5320335339639,3.1190885640584693,2326,0,Mid-range
Xiaomi,Redmi Note 13,449.67921862348174,3.113765182186235,2470,0,Mid-range
